name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
I Kissed A Girl,One Of The Boys,Katy Perry,005lwxGU1tms6HGELIcUv9,2008-06-17,71,179640,0.699,0.00223,0.76,0,0.132,0.696,-3.173,0.0677,129.996,5,4,angry
Nightmare,Nightmare,Halsey,340UVheS8z3ncW9TTUhAbc,2019-05-17,69,231998,0.611,0.0188,0.622,0,0.359,0.538,-5.075,0.0734,146.11,9,4,angry
Sweet Melody,Sweet Melody,Little Mix,28xX6K8LnkZve4RiuEB3iK,2020-10-23,59,213693,0.448,0.0739,0.824,0,0.113,0.419,-4.249,0.057,119.965,5,4,angry
Fake,Fake,Lauv,4Gt2kh3QbAGU6yquOWn4aW,2020-10-13,70,146375,0.703,0.139,0.657,0,0.093,0.455,-5.363,0.0783,82.96,4,4,angry
Don't,x (Deluxe Edition),Ed Sheeran,1huvTbEYtgltjQRXzrNKGi,2014-06-21,73,219840,0.806,0.0113,0.608,0,0.635,0.849,-7.008,0.0659,95.049,1,4,angry
LIKE I WOULD,Mind Of Mine (Deluxe Edition),ZAYN,1zWMf9bVyhY5W3ZORbjNWt,2016-03-25,64,192133,0.565,0.0247,0.832,0,0.26,0.233,-5.732,0.114,112.827,10,4,angry
you broke me first,you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,2020-04-17,84,169265,0.667,0.785,0.373,0,0.0906,0.0823,-9.389,0.05,124.148,4,4,angry
Alarm,Alarm,Anne-Marie,0OwX5aROoW1Iip8FV51Efg,2016-05-20,60,205593,0.756,0.0812,0.589,0,0.176,0.811,-5.093,0.232,146.928,0,4,angry
"i hate u, i love u (feat. olivia o'brien)",us,gnash,7vRriwrloYVaoAe3a9wJHe,2016-03-25,78,251033,0.492,0.687,0.275,0,0.101,0.18,-13.4,0.3,92.6,6,4,angry
Better Off Without You (feat. Shift K3Y),Better Off Without You (feat. Shift K3Y),Becky Hill,3oIVK7arAFuUOCGafPLxSC,2020-01-10,58,198742,0.682,0.0566,0.855,1e-06,0.101,0.304,-3.282,0.0401,124.004,7,4,angry
Because of You,Breakaway,Kelly Clarkson,0gJvqi9QyASOCtJu99tytc,2004,73,219493,0.587,0.248,0.583,0,0.124,0.15,-5.284,0.0313,139.92,5,4,angry
Wrecking Ball,Bangerz (Deluxe Version),Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,78,221360,0.53,0.407,0.422,0,0.107,0.349,-6.262,0.0342,119.964,5,4,angry
Rolling in the Deep,21,Adele,1CkvWZme3pRgbzaxZnTl5X,2011-01-19,1,228293,0.729,0.131,0.756,0,0.0527,0.522,-5.119,0.0294,104.945,8,4,angry
Freedom (feat. Kendrick Lamar),Lemonade,Beyoncé,7aBxcRw77817BrkdPChAGY,2016-04-23,62,289760,0.437,0.0376,0.803,0,0.683,0.406,-6.412,0.305,84.378,2,4,angry
Titanium (feat. Sia),Nothing but the Beat,David Guetta,77TT8Xvx637TpzV8kKGkUw,2011-08-31,61,245040,0.604,0.0678,0.788,0.153,0.127,0.301,-3.673,0.103,126.06,0,4,angry
hot girl bummer,hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,2019-08-23,9,185093,0.778,0.128,0.559,0,0.399,0.678,-7.109,0.0776,129.989,6,1,angry
Boys Ain't Shit,Boys Ain't Shit,SAYGRACE,6vzLbfskWigBsCzNdB0kfE,2019-10-18,64,175883,0.826,0.435,0.615,0.00631,0.334,0.841,-4.729,0.137,102.999,1,4,angry
...Ready For It?,...Ready For It?,Taylor Swift,7zgqtptZvhf8GEmdsM2vp2,2017-09-03,0,208198,0.615,0.0665,0.779,0,0.155,0.453,-6.454,0.135,160.0,2,4,angry
Chandelier,1000 Forms Of Fear,Sia,4VrWlk8IQxevMvERoX08iC,2014-07-04,80,216120,0.399,0.0197,0.787,6.07e-05,0.0685,0.572,-2.88,0.0499,117.089,1,5,angry
Bad Blood,Bad Blood,Taylor Swift,6xsEAm6w9oMQYYg3jkEkMT,2015-05-17,73,200106,0.654,0.0294,0.655,0,0.139,0.221,-7.388,0.106,170.16,11,4,angry
F.U.,Glory Days (Expanded Edition),Little Mix,33dY25vtBFUZ6m948fb3eK,2016-11-18,52,238720,0.62,0.577,0.808,0,0.0971,0.475,-3.555,0.0481,97.011,2,3,angry
Freak,Glory Days (Expanded Edition),Little Mix,7zOpDXHifG4AWzzEQlWocQ,2016-11-18,46,216946,0.693,0.0112,0.872,0,0.0327,0.626,-4.127,0.17,124.984,8,4,angry
About the Boy,Salute (Expanded Edition),Little Mix,5RsMV3Dxd4MNRnJiOqvYMz,2013-11-11,43,224640,0.708,0.0021,0.811,0.00183,0.0657,0.183,-4.815,0.043,102.986,11,4,angry
Shout Out to My Ex,Glory Days (Expanded Edition),Little Mix,0ErK6K0kYr0Ow2RkPMhmMs,2016-11-18,76,246240,0.773,0.0242,0.747,8.99e-06,0.109,0.801,-4.061,0.0885,126.014,5,4,angry
You Don't Own Me (feat. G-Eazy),FMA,SAYGRACE,6KI1ZpZWYAJLvmVhCJz65G,2016-07-01,70,201493,0.332,0.159,0.635,2.79e-06,0.0599,0.261,-5.653,0.0898,186.249,7,3,angry
Same Old Love,Revival (Deluxe),Selena Gomez,6ZANrVuAMp2rpjhfbOuJly,2015-10-09,72,229080,0.672,0.0223,0.593,0,0.214,0.438,-4.01,0.0304,98.02,11,4,angry
Boss Bitch,Boss Bitch,Doja Cat,78qd8dvwea0Gosb6Fe6j3k,2020-01-23,79,134239,0.707,0.127,0.955,0,0.202,0.575,-4.593,0.222,125.989,10,4,angry
Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,0NTMtAO2BV4tnGvw9EgBVq,2015-03-26,74,219305,0.781,0.0509,0.728,1.94e-06,0.257,0.395,-4.981,0.0621,102.99,1,4,angry
you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3XF5xLJHOQQRbWya6hBp7d,2019-03-29,77,180952,0.678,0.462,0.533,0.219,0.139,0.323,-10.485,0.186,150.455,4,4,angry
Sue Me,Singular Act I,Sabrina Carpenter,3WVhkjB7Y4xFruqoCAajBb,2018-11-09,67,179226,0.46,0.0422,0.809,5.04e-05,0.138,0.609,-5.415,0.326,157.184,6,4,angry
Look At Her Now,Rare,Selena Gomez,7eOkHIcaoUhngxxypM5Ajr,2020-01-10,66,162595,0.753,0.114,0.564,0.0273,0.359,0.55,-7.908,0.252,77.342,10,5,angry
"You Need Me, I Don't Need You",+,Ed Sheeran,5KL4iZkCTZyXl7KnHgfVDj,2011-09-09,64,220413,0.749,0.162,0.837,0,0.525,0.927,-8.837,0.0512,103.483,7,4,angry
Attention,Voicenotes,Charlie Puth,5cF0dROlMOK5uNZtivgu50,2018-05-11,83,208786,0.775,0.109,0.613,2.33e-05,0.134,0.797,-4.586,0.0542,100.066,3,4,angry
Without Me,Manic,Halsey,6FZDfxM3a3UCqtzo5pxSLZ,2020-01-17,79,201660,0.752,0.297,0.488,9.11e-06,0.0936,0.533,-7.05,0.0705,136.041,6,4,angry
Hate Me,Brightest Blue,Ellie Goulding,15og0pCEcTFWEXOFKdcJlU,2020-07-16,69,188066,0.64,0.0875,0.789,0,0.147,0.762,-4.891,0.0644,75.018,8,4,angry
Bust Your Windows,Fearless,Jazmine Sullivan,56z2qI0gKcPthQF6l8AW3E,2008-09-23,64,266306,0.683,0.538,0.664,0,0.0671,0.866,-4.233,0.0332,106.991,5,4,angry
Don't Kill My Vibe,Sucker Punch,Sigrid,5DCaAsjQRLYvvdFUzaYnAz,2019-03-08,56,184320,0.544,0.257,0.759,6.53e-05,0.35,0.303,-4.839,0.121,150.032,10,4,angry
Green Light,Melodrama,Lorde,6ie2Bw3xLj2JcGowOlcMhb,2017-06-16,73,234652,0.594,0.0209,0.721,8.55e-06,0.0879,0.253,-7.812,0.0957,128.942,2,4,angry
Steal My Girl,FOUR (Deluxe),One Direction,2Bs4jQEGMycglOfWPBqrVG,2014-11-17,81,228133,0.536,0.00433,0.768,0,0.114,0.545,-5.948,0.0347,77.217,10,4,angry
Back from the Edge,Back from the Edge,James Arthur,0NPRq1Ti6JYKOqSyiVYWZT,2016-10-28,53,234146,0.486,0.091,0.726,0,0.122,0.474,-4.441,0.0539,73.102,7,4,angry
Don't Cha,PCD,The Pussycat Dolls,1gZ7i4qxXkHZb1r6eioaAP,2005-01-01,68,272080,0.877,0.00516,0.637,2.5e-06,0.0959,0.569,-3.493,0.101,119.988,1,4,angry
Break My Heart,Break My Heart,Dua Lipa,6ftrW1qJ3TPKk1W0A0qMwO,2020-03-26,28,221820,0.73,0.167,0.694,1.05e-06,0.331,0.496,-4.47,0.0891,113.011,4,4,angry
Best Thing I Never Had,4,Beyoncé,3lBRNqXjPp2j3JMTCXDTNO,2011-06-24,70,253746,0.546,0.143,0.649,1.55e-05,0.0894,0.298,-4.056,0.0324,99.05,6,4,angry
Problem,My Everything (Deluxe),Ariana Grande,6xCNYRfzZtoQRo1xruPmNq,2014-08-22,0,193920,0.66,0.0192,0.805,8.83e-06,0.159,0.625,-5.352,0.153,103.009,1,4,angry
Do It Like A Dude,Who You Are (Platinum Edition),Jessie J,4wAJ8aQ9Ufj9ylfWESkrDL,2011-01-01,60,195240,0.663,0.0491,0.843,0,0.364,0.375,-3.672,0.049,140.036,2,4,angry
Rumour Has It,21,Adele,76N7FdzCI9OsiUnzJVLY2m,2011-01-19,0,221426,0.618,0.637,0.753,0,0.0905,0.557,-5.05,0.0451,120.041,7,4,angry
How Do You Sleep?,How Do You Sleep?,Sam Smith,6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-19,75,202204,0.477,0.153,0.682,0,0.0763,0.345,-4.931,0.0925,110.567,1,5,angry
not ur friend,not ur friend,Jeremy Zucker,5T9S5x5hEOvgGKWysm683a,2020-02-28,0,174520,0.802,0.309,0.272,0,0.403,0.669,-10.563,0.412,68.969,4,4,angry
Maniac,Maniac,Conan Gray,7hpJ9tATWb2vztlq99hERP,2019-10-25,23,185786,0.623,0.00122,0.647,0,0.354,0.522,-5.438,0.04,107.987,8,4,angry
Nothing Left For You,The Thrill Of It All (Special Edition),Sam Smith,5qOWH742APK9OAIhQBflvV,2017-11-03,50,226731,0.499,0.616,0.3,1.69e-06,0.128,0.212,-8.631,0.0433,126.724,10,3,angry
Midnight Sky,Midnight Sky,Miley Cyrus,27ycaQnQAxaPiyeg3nr2aB,2020-08-14,14,223279,0.705,0.00115,0.814,0.00312,0.203,0.259,-5.466,0.0346,110.0,4,4,angry
Ruin My Life,Ruin My Life,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,2018-10-18,68,190931,0.665,0.423,0.699,0,0.0969,0.585,-5.265,0.0578,124.896,11,4,angry
Beggin' On Your Knees (feat. Victoria Justice),Victorious: Music From The Hit TV Show (feat. Victoria Justice),Victorious Cast,2jXxUK7a6zVPStFSCZqe4G,2010,52,193546,0.623,0.00841,0.869,0,0.0771,0.663,-3.376,0.0481,130.013,5,4,angry
When I Grow Up,Doll Domination (Revised International Version),The Pussycat Dolls,7aKOynv41IGU8uiXmpz7ok,2008,0,245680,0.673,0.00154,0.686,0,0.382,0.34,-5.745,0.0454,118.43,11,4,angry
Fancy,The New Classic (Deluxe Version),Iggy Azalea,3W3KtDwAIg3mAruSpnfG3Q,2014-01-01,69,199938,0.912,0.0904,0.716,0,0.0491,0.377,-4.141,0.0697,94.981,10,4,angry
Dark Horse,PRISM (Deluxe),Katy Perry,5jrdCoLpJSvHHorevXBATy,2013-10-18,76,215672,0.645,0.00314,0.585,0,0.165,0.353,-6.122,0.0513,131.931,6,4,angry
Bodak Yellow,Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,2017-06-16,60,223962,0.929,0.0672,0.723,0,0.346,0.458,-5.792,0.109,125.022,11,4,angry
S&M,Loud (Japan Version),Rihanna,7ySUcLPVX7KudhnmNcgY2D,2010-01-01,78,243600,0.769,0.0105,0.684,0.000125,0.0887,0.835,-5.019,0.0411,127.972,1,4,angry
If You Want My Love,Confetti,Little Mix,7DAR0pwM2Mtv4ThgAbnvdI,2020-11-05,0,160506,0.307,0.0567,0.666,0,0.0677,0.209,-4.682,0.0613,202.636,7,4,angry
Blow Your Mind (Mwah),Blow Your Mind (Mwah),Dua Lipa,7kJlTKjNZVT26iwiDUVhRm,2016-08-26,69,178583,0.654,0.0188,0.796,0,0.0948,0.491,-4.761,0.122,108.854,2,4,angry
I Did Something Bad,reputation,Taylor Swift,3TcMyNevhQZ35yaA8jHSBq,2017-11-10,0,238253,0.696,0.0679,0.602,2.11e-05,0.0696,0.305,-6.156,0.159,82.989,0,4,angry
Take A Hint (feat. Victoria Justice & Elizabeth Gillies),Victorious 2.0: More Music From The Hit TV Show (feat. Victoria Justice),Victorious Cast,3XHdk0KVdgO2sRH5dqibFB,2012-09-14,53,154733,0.73,0.00468,0.858,0,0.0866,0.752,-2.733,0.064,134.003,3,4,angry
"thank u, next","thank u, next",Ariana Grande,3e9HZxeyfWwjeyPAMmWSSQ,2019-02-08,83,207320,0.717,0.229,0.653,0,0.101,0.412,-5.634,0.0658,106.966,1,4,angry
Black Widow,The New Classic,Iggy Azalea,7pNC5ZIKtwUK0ReSpM3P9f,2014-01-01,66,209423,0.743,0.192,0.72,0.000386,0.109,0.519,-3.753,0.124,163.99,11,4,angry
Take Your Man,Take Your Man,Mahogany Lox,1CF5kzz5XDBAL24wtVyyTJ,2019-10-18,56,117362,0.934,0.411,0.658,0.000738,0.0809,0.344,-8.052,0.108,110.015,0,4,angry
Worth It (feat. Kid Ink),Reflection (Deluxe),Fifth Harmony,41Fflg7qHiVOD6dEPvsCzO,2015-01-30,74,224573,0.884,0.063,0.765,7.04e-06,0.118,0.594,-3.865,0.0882,99.987,8,4,angry
FU (feat. French Montana),Bangerz (Deluxe Version),Miley Cyrus,6dDIOU6AqgLkrjFNPgvKY6,2013-10-04,60,229693,0.548,0.199,0.833,0,0.305,0.467,-3.294,0.0497,190.029,7,3,angry
Crying in the Club,Crying in the Club,Camila Cabello,1SJtlNRJDeYHioymcvsqev,2017-05-18,70,216391,0.334,0.334,0.617,0,0.163,0.603,-5.834,0.383,85.227,6,4,angry
Shout Out to My Ex,Glory Days: The Platinum Edition,Little Mix,1pwo8l3Ko7idwaz4LVUEC4,2017-11-24,1,246240,0.773,0.0239,0.747,8.23e-06,0.11,0.8,-4.061,0.0889,126.014,5,4,angry
Woman Like Me (feat. Nicki Minaj),LM5 (Deluxe),Little Mix,222B3aljXx6fFwKmFjuBED,2018-11-16,69,229720,0.754,0.177,0.854,0,0.0808,0.8,-3.449,0.0608,75.002,5,4,angry
Fuck Feelings,It's Not That Deep,Olivia O'Brien,3HzcPKuTJyMmkWDgzswarl,2017-11-17,59,180693,0.813,0.27,0.351,0,0.177,0.472,-6.568,0.0442,104.981,8,4,angry
Wasabi,LM5 (Deluxe),Little Mix,7IOuCLt770D8v0u3SVaDeI,2018-11-16,67,154786,0.847,0.00451,0.656,0.000854,0.143,0.234,-4.976,0.115,114.001,2,4,angry
If U Seek Amy,Circus (Deluxe Version),Britney Spears,2hdy9Wt9qp7M7d0U3ossu2,2008-12-02,71,216520,0.717,0.0192,0.587,0,0.0523,0.544,-7.296,0.0339,129.954,4,4,angry
Joan of Arc,LM5 (Deluxe),Little Mix,1nIfDGW6LmzWwrx1cAX5ts,2018-11-16,55,191760,0.814,0.00211,0.627,0.00124,0.0607,0.603,-3.294,0.0499,100.019,8,4,angry
Liar - Single Version,Liar,Davina Michelle,35PLIvgitn0IviuJJr4jlK,2020-11-20,40,241026,0.473,0.0757,0.546,0,0.139,0.147,-7.519,0.0373,74.964,3,4,angry
Notice,LM5 (Deluxe),Little Mix,3j6w635W6AKCxt98kZ3RIv,2018-11-16,48,214693,0.445,0.351,0.595,0,0.115,0.409,-4.477,0.0699,131.032,1,3,angry
How Ya Doin'? (feat. Missy Elliott),How Ya Doin'? (feat. Missy Elliott),Little Mix,0oPDjsyEtvBfescdyJcWYt,2013-04-04,0,211173,0.359,0.09,0.95,0,0.371,0.51,-3.49,0.476,200.617,10,4,angry
Breakin' Dishes,Good Girl Gone Bad: Reloaded,Rihanna,46aZJc0z1HHHSFxaIRxYSP,2008-06-02,53,200573,0.801,0.000282,0.674,0.000139,0.0914,0.875,-4.185,0.0311,125.009,8,4,angry
Bulletproof,La Roux,La Roux,3pU3mRumn5rWii1rKNu1eV,2009,0,205733,0.674,0.000441,0.882,6.47e-05,0.068,0.682,-2.771,0.0477,123.016,3,4,angry
Bon Appétit,Bon Appétit,Katy Perry,14oOKFGuXu8DqvOe1W8vao,2017-04-28,0,227292,0.797,0.115,0.791,6e-05,0.144,0.516,-5.799,0.0626,106.044,6,4,angry
Umbrella,Good Girl Gone Bad: Reloaded,Rihanna,49FYlytm3dAAraYgpoJZux,2008-06-02,83,275986,0.583,0.00864,0.829,0,0.0426,0.575,-4.603,0.134,174.028,1,4,angry
Power,Glory Days: The Platinum Edition,Little Mix,7CYCgMa7IgSjDwL3THbeCa,2017-11-24,0,247840,0.566,0.0367,0.855,0.000162,0.181,0.513,-4.016,0.211,172.977,7,4,angry
Mother's Daughter,SHE IS COMING,Miley Cyrus,2WyRfGeHo97VC5mP1BBSzr,2019-05-31,48,219080,0.681,0.00464,0.865,0.00169,0.149,0.528,-4.132,0.0594,91.017,1,4,angry
Expectations,Expectations,Lauren Jauregui,1EXotCuzdXR34W1MoP6Um7,2018-10-24,63,204066,0.576,0.00923,0.443,1.88e-06,0.124,0.452,-7.477,0.0754,180.08,4,3,angry
Toxic,Pitch Perfect 3 (Original Motion Picture Soundtrack),Various Artists,2SAv4Ivx2JfOOZrX4KnIjm,2017-12-15,57,201613,0.631,0.357,0.714,4.65e-06,0.118,0.621,-5.738,0.0353,149.938,8,4,angry
"Determinate - From ""Lemonade Mouth""",Lemonade Mouth,Lemonade Mouth,4qEoqyPbLYnLOii6mKlIjI,2011-01-01,67,198106,0.562,0.00361,0.768,0,0.0742,0.218,-5.006,0.0488,139.968,1,4,angry
IDGAF,Dua Lipa (Deluxe),Dua Lipa,76cy1WJvNGJTj78UqeA5zr,2017-06-02,80,217946,0.836,0.0403,0.544,0,0.0824,0.51,-5.975,0.0943,97.028,7,4,angry
Dead To Me,Isolation,Kali Uchis,6LOZws7T3jqZz78unPgFF9,2018-04-06,77,199505,0.675,0.432,0.761,0,0.102,0.428,-4.469,0.0466,119.001,4,4,angry
Better Now,beerbongs & bentleys,Post Malone,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,82,231266,0.68,0.331,0.578,0,0.135,0.341,-5.804,0.04,145.038,10,4,angry
Therefore I Am,Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,2020-11-12,75,174321,0.889,0.218,0.34,0.13,0.055,0.716,-7.773,0.0697,94.009,11,4,angry
Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,5ChkMS8OtdzJeqyybCc9R5,1982-11-30,85,293826,0.92,0.0236,0.654,0.0153,0.036,0.847,-3.051,0.0401,117.046,11,4,angry
Therapist,Therapist,Mae Muller,2vDH0r4FU75wEivLDZcvze,2020-01-23,54,183726,0.61,0.136,0.473,0,0.0828,0.528,-8.433,0.389,183.926,9,4,angry
Really Don't Care,Demi,Demi Lovato,0hPuF2Z5fZjnuwYPvIdPC1,2013-01-01,0,201600,0.703,0.111,0.733,0,0.119,0.82,-3.598,0.0852,121.008,7,4,angry
Mr. Know It All,Stronger (Deluxe Version),Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,2011-10-24,48,232520,0.676,0.0284,0.807,0,0.0701,0.443,-5.131,0.029,95.956,5,4,angry
I Don't Fuck With You,Dark Sky Paradise,Big Sean,7FYH5AW3bVfZHJIQpq3UOA,2015-02-24,75,284386,0.824,0.0362,0.733,0,0.325,0.395,-5.474,0.0613,97.972,1,4,angry
Stronger,Oops!... I Did It Again,Britney Spears,5QhBKPqsnX1uY9fZNaAtZg,2000-05-16,66,203000,0.707,0.128,0.923,0.000437,0.273,0.842,-3.957,0.0521,108.049,11,4,angry
Break Your Heart Right Back,My Everything (Deluxe),Ariana Grande,0HGcQDbRen8luCnwH53sNl,2014-08-25,57,253386,0.726,0.0113,0.605,0,0.0639,0.588,-5.673,0.0628,93.93,6,4,angry
According To You,Believe (II),Orianthi,72phhQtfwZcRweweRxxkmU,2010-01-01,51,200346,0.619,0.0233,0.917,1.21e-05,0.0986,0.552,-2.582,0.0507,131.002,5,4,angry
Diva,I AM...SASHA FIERCE,Beyoncé,5Ssv6DaKrW0HczVqx6zXdl,2008-11-14,62,200613,0.875,0.0488,0.551,0.00728,0.0537,0.861,-6.744,0.317,146.092,6,4,angry
NO,Thank You (Deluxe Version),Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc,2017-05-12,70,213506,0.557,0.0124,0.803,1.61e-06,0.737,0.657,-3.599,0.213,92.134,1,4,angry
I Can Do Better,The Best Damn Thing,Avril Lavigne,2yjwN6ql7HhPJueLX74AoB,2007-04-17,0,195306,0.436,0.00443,0.982,4.74e-05,0.723,0.272,-2.786,0.167,172.084,7,4,angry
I Will Survive - Single Version,Hits Of The 70's,Various Artists,0rwmxAht1fk7QuSiCmIhGV,1993-01-01,44,198600,0.801,0.0173,0.623,0.00811,0.323,0.641,-13.445,0.0508,116.426,9,4,angry
Shut Up and Let Me Go,We Started Nothing,The Ting Tings,6tN0t7Y1bFI1ZU98Ou8Z3i,2008-07-29,41,171226,0.852,0.0109,0.927,0.00268,0.054,0.887,-4.497,0.0581,107.993,7,4,angry
Psychopath - Recorded at Spotify Studios NYC,Spotify Singles,Charlotte Lawrence,3dBE30R12dDxc1jBDaqmo3,2018-03-21,50,175203,0.736,0.0631,0.538,0,0.121,0.366,-5.263,0.0477,110.043,7,4,angry
COPYCAT,dont smile at me,Billie Eilish,5w7wuzMzsDer96KqxafeRK,2017-12-22,75,194711,0.679,0.353,0.388,9.25e-05,0.341,0.234,-10.977,0.0932,124.909,4,4,angry
Shut Up And Drive,Good Girl Gone Bad: Reloaded,Rihanna,3m7Fne4xA0bsKzEaWbNucr,2008-06-02,0,212280,0.735,0.00101,0.826,0.129,0.197,0.74,-4.902,0.0349,132.964,1,4,angry
Say It Right,Loose,Nelly Furtado,2aI21FnmY7TJVKeMaoQZ0t,2006-01-01,80,223080,0.872,0.0476,0.872,0.00112,0.0543,0.809,-6.328,0.139,116.948,1,4,angry
Power,Witness (Deluxe),Katy Perry,6Bat8YJaSEVzWwYFHqgqep,2017-06-09,43,226466,0.559,0.0364,0.61,1.05e-06,0.0779,0.376,-4.717,0.0927,142.146,5,4,angry
Part Of Me,Teenage Dream: The Complete Confection,Katy Perry,6yARPLK0PV4heEyh7pVMGz,2012-01-01,69,216160,0.667,0.000354,0.922,0,0.0867,0.761,-4.645,0.0353,130.01,5,4,angry
R U Crazy,R U Crazy,Conor Maynard,7xKQ85qdNPXJy0rJstoI4d,2013-10-04,55,253373,0.785,0.0832,0.598,0,0.113,0.781,-4.422,0.147,131.305,7,4,angry
All Cried Out (feat. Alex Newell) - Radio Edit,All Cried Out (feat. Alex Newell) [Radio Edit],Blonde,6n7rJUcwmQDestMYXoSoZF,2015-04-10,55,170716,0.657,0.428,0.757,0,0.0728,0.672,-5.257,0.0584,122.056,0,4,angry
Tears (feat. Louisa Johnson),What Is Love? (Deluxe Edition),Clean Bandit,4cKyHIo4oIZTLW5MujF9nL,2018-11-30,51,228066,0.43,0.0441,0.741,0,0.117,0.297,-4.355,0.0583,130.833,5,4,angry
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,27OeeYzk6klgBh83TSvGMA,2020-11-06,80,161384,0.662,0.213,0.413,0,0.134,0.467,-7.357,0.0299,93.005,0,4,angry
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,06KyNuuMOX1ROXRhj787tj,2016-01-29,82,217706,0.728,0.621,0.563,0,0.179,0.352,-8.053,0.134,100.017,1,4,angry
Irreplaceable,B'Day Deluxe Edition,Beyoncé,6RX5iL93VZ5fKmyvNXvF1r,2007-05-29,71,227853,0.447,0.0293,0.694,5.46e-06,0.167,0.509,-4.637,0.382,175.868,7,4,angry
"Yeah, No.","Yeah, No. (Andrelli Remix)",Elle Winter,0OtmkH45xuXmvyQ1AAbpy5,2020-05-29,49,198671,0.589,0.0191,0.766,1.69e-06,0.14,0.429,-4.429,0.129,171.961,8,4,angry
