,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
1,So What,Funhouse (Expanded Edition),P!nk,0JiY190vktuhSGN6aqJdrt,2008-10-24,77,215160,0.534,0.000334,0.87,0.0,0.24100000000000002,0.462,-3.0780000000000003,0.0425,126.01899999999999,11,4,angry
356,New Light,New Light,John Mayer,3bH4HzoZZFq8UpZmI2AMgV,2018-05-10,3,216014,0.828,0.325,0.6890000000000001,0.0384,0.0808,0.853,-7.877999999999999,0.0326,123.931,7,4,happy
50,Don't Kill My Vibe,Sucker Punch,Sigrid,5DCaAsjQRLYvvdFUzaYnAz,2019-03-08,56,184320,0.544,0.257,0.759,6.53e-05,0.35,0.303,-4.8389999999999995,0.121,150.032,10,4,angry
485,Demons,These Two Windows,Alec Benjamin,57zRWXTQCFRV3zwg0NR8Ck,2020-05-29,62,163171,0.708,0.6970000000000001,0.494,0.00011499999999999999,0.34,0.76,-7.496,0.0365,142.921,5,4,depress
761,Water,Water,Michiel Borstlap,0fHo89AiSS0X3ycHHKnIoU,2021-10-15,62,152068,0.316,0.995,0.0617,0.93,0.11599999999999999,0.19,-28.555999999999997,0.0496,70.132,5,3,calm
141,I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,Bebe Rexha,5LtNBCM2ve0SxP0dlRVvMu,2014-12-19,64,207775,0.474,0.0758,0.537,0.0,0.316,0.335,-6.77,0.0649,90.103,2,4,angry
194,like that,aurora,Bea Miller,6E37j4b44JGpdk297urpKM,2018-02-23,70,185546,0.573,0.18600000000000003,0.441,0.0,0.61,0.389,-5.7989999999999995,0.0758,61.657,6,4,angry
781,Into Your Arms,Into Your Arms,Comet Blue,0GHHNOWeN8O0p1rJjNX6pA,2021-07-29,27,112625,0.35600000000000004,0.992,0.0407,0.9179999999999999,0.09,0.17600000000000002,-29.158,0.0287,134.166,5,4,calm
443,Head Up High - Two Friends Remix,Head Up High (Two Friends Remix),FITZ,1hYIA1PnP1l5azn3Cr05z1,2021-01-22,36,146081,0.6559999999999999,0.0032700000000000003,0.736,0.0,0.386,0.605,-4.003,0.0665,125.03,0,4,happy
396,Who Will Win,Who Will Win,A Bad Think,17SuQJ8qVGdHcM9NZPGzSr,2022-08-19,30,218333,0.528,0.092,0.599,0.0053,0.125,0.654,-7.565,0.0271,151.975,6,4,happy
790,Seijaku,Seijaku,Leo Nocta,0Ve9wVuXrb5YFFRmpwmbOS,2021-06-04,23,127240,0.321,0.977,0.0142,0.92,0.106,0.0868,-22.859,0.0364,62.856,2,4,calm
282,Follow Me,Follow Me,Sam Feldt,2Xy1UIVfOlukyye6Fd0wrI,2021-12-10,74,169672,0.6729999999999999,0.083,0.7290000000000001,0.0,0.1,0.675,-4.879,0.0496,122.023,6,4,happy
198,Liar Liar,Liar Liar,Peyton List,0dsd9LUwFeeujPxdqPmqsg,2018-11-02,47,182523,0.711,0.0213,0.604,0.00158,0.0571,0.361,-5.392,0.0503,175.597,5,3,angry
468,How to Save a Life,How To Save A Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,2005-09-13,81,262533,0.64,0.26899999999999996,0.743,0.0,0.10099999999999999,0.361,-4.08,0.0379,122.035,10,4,depress
185,You're Not Harry Styles,You're Not Harry Styles,Dylan,1yCrrZwlYPS3AqQHsJvFlu,2021-11-26,5,176530,0.5529999999999999,0.006809999999999999,0.767,2.95e-06,0.0903,0.669,-4.5569999999999995,0.0741,165.05900000000003,6,4,angry
128,Irreplaceable,B'Day Deluxe Edition,Beyoncé,6RX5iL93VZ5fKmyvNXvF1r,2007-05-29,71,227853,0.447,0.0293,0.6940000000000001,5.46e-06,0.16699999999999998,0.509,-4.637,0.382,175.868,7,4,angry
150,What You Waiting For?,Love Angel Music Baby (Deluxe Version),Gwen Stefani,0oEFdKyCW7zMSIHazc8Yit,2005-01-01,0,221226,0.6759999999999999,0.0509,0.948,8.19e-06,0.384,0.731,-2.557,0.0628,136.02700000000002,5,4,angry
309,Real Life,Real Life,Derek Moss,1CjloVAzaDLPfGPSiAXKB6,2021-11-04,26,200950,0.7609999999999999,0.237,0.536,6.57e-06,0.257,0.9670000000000001,-12.475,0.0352,124.014,9,4,happy
343,Only A Fool (with Pink Sweat$),Only A Fool (with Pink Sweat$),Galantis,4iWKQu7GcqRl1aVll2PD20,2020-05-29,56,166687,0.7290000000000001,0.0451,0.619,0.0,0.0953,0.623,-6.155,0.0346,123.061,5,4,happy
473,In My Blood,Shawn Mendes,Shawn Mendes,2QZ7WLBE8h2y1Y5Fb8RYbH,2018-05-25,76,211360,0.622,0.0573,0.7120000000000001,0.0,0.13,0.48700000000000004,-7.321000000000001,0.066,140.025,5,4,depress
605,Concrete Angel (acoustic),Concrete Angel (acoustic),Christina Novelli,62sJECqRfQ6P7pkNwfnkaO,2014-11-11,42,265718,0.461,0.7979999999999999,0.325,0.0,0.09699999999999999,0.179,-6.897,0.0316,104.97200000000001,2,4,depress
701,Breakfast In Paris,Breakfast In Paris,Simone d'Harmange,0MFK1L44eSw78xZUnvFOE1,2022-04-29,39,118574,0.5920000000000001,0.993,0.203,0.951,0.106,0.516,-21.295,0.0487,114.531,5,3,calm
261,Love on Me,Love on Me,Galantis,2MHCiOohBZEQuLgDTPvSzF,2016-09-30,56,205920,0.562,0.105,0.9059999999999999,0.0,0.145,0.674,-2.085,0.0758,124.146,4,4,happy
235,Anxiety,Anxiety,Ryn Nicole,2oyUSv4WmsaDu1MiOcYqFc,2022-09-23,32,158328,0.596,0.19,0.747,1.18e-06,0.102,0.489,-4.788,0.0907,153.774,4,4,happy
303,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,2021-03-19,86,198081,0.677,0.321,0.696,0.0,0.42,0.46399999999999997,-6.181,0.11900000000000001,90.03,0,4,happy
243,Battle Lines,Empty Flower,Quigzy Stick,2wnqL4zXvCJADzwvyZmvZH,2022-08-12,22,211253,0.508,0.0121,0.7290000000000001,0.00044100000000000004,0.0869,0.758,-5.034,0.0285,92.005,0,4,happy
398,Chelsea Dagger,Costello Music,The Fratellis,1bCmvezFg5MRcENzCGG1Cy,2006-01-01,70,215306,0.511,0.0491,0.815,0.0,0.0826,0.586,-3.14,0.14400000000000002,154.514,7,4,happy
744,Dépayser,Dépayser,Martèn LeGrand,6DXi01wp7A0J1a68gkrshV,2021-12-17,28,153250,0.369,0.9940000000000001,0.0513,0.904,0.113,0.2,-26.458000000000002,0.0361,159.88,11,4,calm
256,Learn to Love,Learn to Love,Sabrina Francis,2gkmKJKjzJXztLQDN3rtcx,2022-08-19,44,178598,0.6679999999999999,0.289,0.785,0.0,0.102,0.34,-5.67,0.0654,107.085,4,4,happy
477,Shirtsleeves,x (Deluxe Edition),Ed Sheeran,7awwmuGslmuyhnlpFipDqk,2014-06-21,54,190226,0.752,0.319,0.76,0.0,0.335,0.752,-5.34,0.0341,107.03399999999999,2,4,depress
123,R U Crazy,R U Crazy,Conor Maynard,7xKQ85qdNPXJy0rJstoI4d,2013-10-04,55,253373,0.785,0.0832,0.598,0.0,0.113,0.7809999999999999,-4.422,0.147,131.305,7,4,angry
526,Dear Patience,Heartbreak Weather,Niall Horan,0gwfuYQz0TauOajxH2V2Cn,2020-03-13,56,194453,0.524,0.151,0.49,0.0,0.264,0.249,-5.582000000000001,0.0308,93.335,2,4,depress
102,Better Now,beerbongs & bentleys,Post Malone,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,82,231266,0.68,0.331,0.578,0.0,0.135,0.341,-5.803999999999999,0.04,145.03799999999998,10,4,angry
646,HAPPY ENDING,HOLY FVCK,Demi Lovato,7lk9a3y8aBG9u7jzBLRDP2,2022-08-19,67,229966,0.415,0.00213,0.7390000000000001,3.22e-06,0.415,0.165,-4.771,0.0488,175.895,2,4,depress
794,Gentle Caress,Moments,Anna Sofia Nord,2kvSnQMxQKCaMieNxP8bBH,2021-04-02,34,158157,0.434,0.982,0.00302,0.9440000000000001,0.11199999999999999,0.247,-25.766,0.0423,106.602,0,4,calm
350,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Nathan Evans,3iw6V4LH7yPj1ESORX9RIN,2021-01-21,77,116750,0.722,0.0441,0.893,0.0009369999999999999,0.0673,0.439,-3.255,0.0475,119.932,0,4,happy
334,Lovely Day,Menagerie,Bill Withers,0bRXwKfigvpKZUurwqAlEh,1977-10-29,77,254560,0.6920000000000001,0.292,0.6509999999999999,0.0024100000000000002,0.105,0.706,-8.267000000000001,0.0324,97.92299999999999,9,4,happy
653,Jaujac,Jaujac,Hautefort,6K5Bt6Il0K4t4m592trjh3,2022-09-23,27,237500,0.305,0.991,0.057999999999999996,0.884,0.106,0.16699999999999998,-25.64,0.0441,115.346,2,4,calm
335,Witness of Infinity,Witness of Infinity,Kit Pristine,2hO6Qw73YBYbqL7cPzmXtu,2022-09-27,6,169738,0.727,0.0766,0.7559999999999999,8.48e-05,0.0785,0.8220000000000001,-6.442,0.0343,139.91899999999998,7,4,happy
529,Take Yourself Home,Take Yourself Home,Troye Sivan,6YndZBGmLySgsVScckWkmO,2020-04-01,0,249369,0.364,0.0748,0.606,0.000322,0.106,0.289,-9.187999999999999,0.0831,99.73,5,4,depress
567,suicide,isaac's insects,Isaac Dunbar,0AXgLaqOI5w3uLXh4YOsIJ,2020-04-09,55,257000,0.593,0.769,0.479,0.609,0.142,0.256,-9.31,0.0335,97.01700000000001,2,4,depress
394,Look at the Sky,Nurture,Porter Robinson,5lXNcc8QeM9KpAWNHAL0iS,2021-04-23,60,309985,0.568,0.0105,0.564,0.000127,0.0766,0.385,-8.231,0.0273,115.059,6,4,happy
417,Lovely Day,Lean on Me: The Best of Bill Withers,Bill Withers,0ACACkoHUwgfgY5CxVIL4N,1994-08-09,64,255066,0.6940000000000001,0.19399999999999998,0.565,0.000172,0.0806,0.6920000000000001,-12.583,0.0345,97.93799999999999,9,4,happy
348,Gemini,Gemini,TaQsem,5XdbYtX9m0lgkjmRPYRjqg,2022-09-09,19,156290,0.79,0.184,0.722,0.0,0.071,0.387,-6.476,0.18100000000000002,106.053,0,4,happy
718,Time Flies,Time Flies,Pieter de Graaf,3OuSwVoqxlaKO3MfcigSNp,2022-04-01,46,193241,0.3,0.995,0.0224,0.91,0.0775,0.34299999999999997,-29.256,0.0371,92.059,10,3,calm
782,That's Life,That's Life,Adrian Kuipers,6Aybz0jrGi8gZfCiumCZvf,2021-07-30,25,113911,0.22899999999999998,0.975,0.0495,0.9520000000000001,0.109,0.0399,-23.869,0.0567,78.28699999999999,5,4,calm
254,I Think I'm Ready for Love,I Think I'm Ready for Love,Andrew Ash,7t0zEVbXDHT8OX5gpnbsei,2022-09-09,25,205967,0.82,0.111,0.648,0.0,0.062,0.9209999999999999,-4.683,0.0401,109.93,6,4,happy
332,My Universe,Music Of The Spheres,Coldplay,46HNZY1i7O6jwTA7Slo2PI,2021-10-15,82,226198,0.573,0.0114,0.711,0.0,0.32799999999999996,0.47,-6.268,0.0406,105.006,1,4,happy
292,Higher Love,Higher Love,Kygo,6oJ6le65B3SEqPwMRNXWjY,2019-06-28,77,228267,0.693,0.0151,0.6779999999999999,5.71e-06,0.10099999999999999,0.40399999999999997,-7.159,0.0324,103.95200000000001,8,4,happy
391,happiness - Dyro Remix,happiness (Dyro Remix),John K,1GELM6kROxHwFJDJdp7qqy,2020-12-18,39,152526,0.79,0.0061600000000000005,0.758,0.0,0.152,0.79,-4.2860000000000005,0.221,117.82,11,4,happy
616,Numb,Meteora,Linkin Park,2nLtzopw4rPReszdYBJU6h,2003-03-24,84,185586,0.496,0.0046,0.863,0.0,0.639,0.243,-4.1530000000000005,0.0381,110.01799999999999,9,4,depress
537,Not Ok,Not Ok,Kygo,6aoGtdWXBkYQ2O2wnyIz2x,2019-05-23,59,210943,0.618,0.0292,0.66,2.07e-06,0.325,0.408,-8.14,0.0372,105.0,11,4,depress
787,Puur,Puur,Jacco Wynia,5ekzdAVbIxsy7lrFop0OI6,2021-07-02,29,203681,0.32299999999999995,0.988,0.0483,0.91,0.10800000000000001,0.27,-28.433000000000003,0.0373,164.003,8,4,calm
678,Samota,Samota,YuMe,2uN1WLEwijHnCHlnSQ4u0o,2022-07-29,38,163863,0.31,0.987,0.0522,0.9520000000000001,0.105,0.0888,-26.079,0.0521,89.381,11,4,calm
149,Drop Dead,Falling Asleep At The Wheel,Holly Humberstone,6ZC0G0vb5tr86xeJP766Ok,2020-08-14,38,177162,0.5770000000000001,0.586,0.39299999999999996,0.000181,0.0927,0.132,-7.322,0.038,89.85799999999999,0,4,angry
100,IDGAF,Dua Lipa (Deluxe),Dua Lipa,76cy1WJvNGJTj78UqeA5zr,2017-06-02,80,217946,0.836,0.0403,0.544,0.0,0.0824,0.51,-5.975,0.0943,97.02799999999999,7,4,angry
113,NO,Thank You (Deluxe Version),Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc,2017-05-12,70,213506,0.557,0.0124,0.8029999999999999,1.61e-06,0.737,0.657,-3.5989999999999998,0.213,92.134,1,4,angry
62,Maniac,Maniac,Conan Gray,7hpJ9tATWb2vztlq99hERP,2019-10-25,23,185786,0.623,0.00122,0.647,0.0,0.354,0.522,-5.438,0.04,107.98700000000001,8,4,angry
0,Fuck You,"It's Not Me, It's You (Special Edition)",Lily Allen,4XE98WRGbBGRZ7jQ9wIwFt,2008-12-02,62,219893,0.775,0.0271,0.904,0.000303,0.06,0.84,-4.08,0.0437,130.009,1,4,angry
75,Take A Hint (feat. Victoria Justice & Elizabeth Gillies),Victorious 2.0: More Music From The Hit TV Show (feat. Victoria Justice),Victorious Cast,3XHdk0KVdgO2sRH5dqibFB,2012-09-14,53,154733,0.73,0.00468,0.858,0.0,0.0866,0.752,-2.733,0.064,134.003,3,4,angry
652,Place dans ton coeur,Place dans ton coeur,Martèn LeGrand,2YO46iiumQbYNHHWxWGWQA,2022-09-23,42,140424,0.42,0.995,0.0201,0.9059999999999999,0.0812,0.0905,-28.383000000000003,0.0298,84.277,11,3,calm
621,When I Look At You,The Time Of Our Lives (International Version),Miley Cyrus,6ZfXA2xakAvphXOSOJ3u1W,2009-01-01,72,248586,0.45899999999999996,0.142,0.545,0.0,0.105,0.19399999999999998,-4.874,0.0282,137.941,6,3,depress
142,Power (feat. Stormzy),Glory Days (Expanded Edition),Little Mix,4QVFtAswXqPoAWRLo5yu8a,2016-11-18,64,242293,0.586,0.0345,0.865,5.7000000000000005e-06,0.165,0.46799999999999997,-4.092,0.319,172.912,7,4,angry
738,Heaven on the Hill,Heaven on the Hill,Lucas Laufen,4slzIQpQTetqXGF146UebJ,2022-01-14,38,139979,0.562,0.9940000000000001,0.113,0.929,0.10400000000000001,0.259,-25.526,0.0448,112.92399999999999,7,4,calm
301,Sunny Day,Sunny Day,Hazelsoja,3qXETRYyTXHYROnRZ0bPpE,2022-08-03,32,175200,0.836,0.0731,0.787,8.58e-06,0.12,0.295,-7.1579999999999995,0.0868,100.03399999999999,11,4,happy
489,Lonely,THE END OF EVERYTHING,Noah Cyrus,6U1iuA5QfzYRPJxvdcxqtf,2020-05-15,70,144377,0.53,0.7979999999999999,0.281,0.0,0.0928,0.341,-8.274,0.0577,122.44200000000001,5,4,depress
147,Mr. Brightside,Hot Fuss,The Killers,003vvx7Niy0yvhvHt4a68B,2004,86,222973,0.35200000000000004,0.00121,0.9109999999999999,0.0,0.0995,0.23600000000000002,-5.23,0.0747,148.033,1,4,angry
750,Mémoires,Mémoires,GUIDO,1d40d8ULL5l4jUSClQz2td,2021-11-19,31,202035,0.342,0.993,0.0353,0.9209999999999999,0.105,0.0959,-23.478,0.0367,67.314,5,3,calm
467,Stone Cold,Confident,Demi Lovato,3by8IfnW9dZ2t4pZw1WVxz,2015-01-01,70,191307,0.419,0.539,0.45299999999999996,0.0,0.0971,0.35600000000000004,-7.685,0.0437,140.327,8,3,depress
26,Rolling in the Deep,21,Adele,1CkvWZme3pRgbzaxZnTl5X,2011-01-19,1,228293,0.7290000000000001,0.131,0.7559999999999999,0.0,0.0527,0.522,-5.119,0.0294,104.945,8,4,angry
557,I Won't Give Up,Love Is a Four Letter Word,Jason Mraz,5ivF4eQBqJiVL5IAE9jRyl,2012-04-13,70,240165,0.483,0.6940000000000001,0.303,0.0,0.115,0.139,-10.058,0.0429,133.406,4,3,depress
419,Ride,Blurryface,Twenty One Pilots,2Z8WuEywRWYTKe1NybPQEW,2015-05-15,83,214506,0.645,0.00835,0.713,0.0,0.113,0.5660000000000001,-5.355,0.0393,74.98899999999999,6,4,happy
418,Sweet Caroline,Sweet Caroline,Neil Diamond,3298yRJKPcCndQdNiTZKIo,1987-06-29,0,203573,0.5379999999999999,0.589,0.127,0.00016999999999999999,0.23800000000000002,0.527,-16.057000000000002,0.0284,62.82899999999999,11,4,happy
230,Something About Your Love,Missing You / Something About Your Love,SG Lewis,7cujJQPxdHeDz5mKLmv0bu,2022-07-07,63,323109,0.5870000000000001,0.0134,0.826,0.000131,0.23600000000000002,0.27399999999999997,-5.728,0.14800000000000002,122.02,8,4,happy
472,Never Be Alone,PEACEFUL MEDITATION 2020,Various Artists,1ETJfNnm2r2ORqowOw4vtz,2020-07-03,22,215800,0.377,0.517,0.466,5.629999999999999e-05,0.0781,0.276,-6.9270000000000005,0.0352,199.847,10,4,depress
5,Womanizer,Circus (Deluxe Version),Britney Spears,4fixebDZAVToLbUCuEloa2,2008-12-02,76,224400,0.7240000000000001,0.073,0.695,0.0,0.0889,0.235,-5.226,0.0622,139.0,11,4,angry
491,Lonely Eyes,~how i'm feeling~,Lauv,5qhHm4dN4L2dhRb2TfzGPw,2020-03-06,59,196493,0.586,0.0418,0.499,0.0,0.0994,0.369,-7.005,0.0267,95.012,2,4,depress
591,Don't You Worry Child - Radio Edit,Don't You Worry Child,Swedish House Mafia,2V65y3PX4DkRhy1djlxd9p,2012-09-14,80,212862,0.612,0.11199999999999999,0.84,0.0,0.11599999999999999,0.43799999999999994,-3.145,0.0509,129.042,11,4,depress
427,Everybody Talks,Picture Show,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq,2012-01-01,80,177280,0.47100000000000003,0.00301,0.924,0.0,0.313,0.725,-3.906,0.0586,154.961,8,4,happy
365,Circles,Circles,Post Malone,4VginDwYTP2eaHJzO0QMjG,2019-08-30,0,214906,0.7040000000000001,0.233,0.758,0.00144,0.0924,0.534,-3.537,0.0402,120.00299999999999,0,4,happy
316,What Makes You Beautiful,Up All Night,One Direction,3SPDQfj2UfWq6A2NllZnzn,2012-05-25,0,198053,0.7290000000000001,0.00761,0.7709999999999999,0.0,0.087,0.873,-2.451,0.0725,125.01100000000001,4,4,happy
200,you're so cool,i used to think i could fly,Tate McRae,5XLgE4yoU9MyR5vkjNxpdF,2022-05-27,61,170933,0.7979999999999999,0.21899999999999997,0.654,0.0,0.545,0.731,-3.139,0.0937,131.94299999999998,5,4,angry
63,Nothing Left For You,The Thrill Of It All (Special Edition),Sam Smith,5qOWH742APK9OAIhQBflvV,2017-11-03,50,226731,0.499,0.616,0.3,1.69e-06,0.128,0.212,-8.631,0.0433,126.72399999999999,10,3,angry
691,L'été du Cœur - Tu es Belle,L'été du Cœur - Tu es Belle,Coen Molenaar,6Yn9rmIqRMkYNeH0xheAAl,2022-06-17,27,161107,0.409,0.985,0.023,0.956,0.0834,0.20800000000000002,-29.463,0.0447,122.434,9,4,calm
367,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,4cG7HUWYHBV6R6tHn1gxrl,2021-01-15,83,169153,0.8240000000000001,0.0076,0.862,0.000132,0.303,0.8009999999999999,-3.424,0.126,122.98,2,4,happy
475,A Little Too Much,Handwritten,Shawn Mendes,6OcXjaSKDRYpffXDdNcAWD,2015-04-14,43,187026,0.5529999999999999,0.473,0.507,0.0,0.10800000000000001,0.57,-6.24,0.0304,83.09299999999999,11,4,depress
28,Titanium (feat. Sia),Nothing but the Beat,David Guetta,77TT8Xvx637TpzV8kKGkUw,2011-08-31,61,245040,0.604,0.0678,0.7879999999999999,0.153,0.127,0.301,-3.673,0.10300000000000001,126.06,0,4,angry
599,Dear Me,Every Mile Mattered,Nichole Nordeman,1mBqbGYfsVJH1z2DHPNSbT,2017-07-28,47,327640,0.345,0.0504,0.413,0.0,0.0906,0.24100000000000002,-7.805,0.0349,78.634,1,4,depress
593,Stop And Stare,Dreaming Out Loud,OneRepublic,0pg4ptWsO9eMH6nEhrM9fD,2007-11-20,62,223853,0.49200000000000005,0.0659,0.8590000000000001,0.0,0.0756,0.251,-4.274,0.0332,92.47399999999999,4,4,depress
610,Say,Say,John Mayer,6wZI4mdT8JwXgkGURnBQiq,2006-10-13,62,230213,0.485,0.541,0.723,1.12e-06,0.075,0.541,-6.565,0.0317,167.845,10,4,depress
654,marina,marina,Wantij,3yZysEiIpBztPnEmWeZuFU,2022-09-02,27,181869,0.126,0.977,0.00398,0.927,0.0947,0.0714,-34.003,0.0459,66.01,4,4,calm
709,Doubt,RISE,Ron Adelaar,3D0LhoqGyjdOV6760uOsJS,2022-05-20,47,115426,0.42200000000000004,0.9940000000000001,0.0298,0.8959999999999999,0.11900000000000001,0.20199999999999999,-26.888,0.0354,59.748000000000005,5,4,calm
462,Lost Boy,Safe Haven,Ruth B.,0zMzyHAeMvwq5CRstru1Fp,2017-05-05,69,276066,0.586,0.963,0.128,0.0,0.0858,0.371,-9.297,0.0496,123.49799999999999,7,4,depress
762,Lousy Conversations,Lousy Conversations,Job Roggeveen,14OrqPGYkiM7fa6xxDX3V4,2021-10-08,27,141137,0.41,0.995,0.0585,0.9620000000000001,0.11699999999999999,0.0698,-29.093000000000004,0.0531,137.912,3,3,calm
552,Home,The World From The Side Of The Moon (Deluxe),Phillip Phillips,4rsW3WCZBGwhHfJWuHRwyT,2013-01-01,65,210173,0.606,0.0256,0.826,1.56e-05,0.11699999999999999,0.322,-6.04,0.0307,121.04,0,4,depress
24,Because of You,Breakaway,Kelly Clarkson,0gJvqi9QyASOCtJu99tytc,2004,73,219493,0.5870000000000001,0.248,0.583,0.0,0.124,0.15,-5.284,0.0313,139.92,5,4,angry
216,Friends & Family,Friends & Family,The Isley Brothers,1WR8eDyLw7uW5KDv7Sr50h,2021-04-05,47,252524,0.79,0.344,0.503,0.0,0.0662,0.8809999999999999,-11.169,0.109,101.05,8,4,happy
157,My Kind Of Love - Radio Mix,My Kind Of Love,Emeli Sandé,7E5lsR0QIGD6DC9eDdwCmR,2012-01-01,16,199880,0.373,0.5770000000000001,0.7170000000000001,1.95e-06,0.32299999999999995,0.42,-2.775,0.0443,174.581,5,4,angry
179,Moments,Moments,Cate,3NilZVPKLumm0f6UMfEw2Y,2021-10-29,0,196113,0.498,0.268,0.6779999999999999,0.0,0.133,0.42700000000000005,-4.487,0.0386,73.41,2,4,angry
